"Timestamp","Respondents' Consent","What is your name? (optional)","Which college department are you part of?","What is your current college year?","Are you already aware of what SOGIE Equality Bill is?","How much knowledge would you describe yourself having regarding LGBTQIA+?","What is your assigned sex at birth?","What is your Gender Identity?","How would you describe your Gender Expression?","How would you describe your Sexual Orientation","Will SOGIE Bill prevent the discrimination based on sexual orientation and gender identity?","Will SOGIE Bill give equal access to LGBTQIA+ individual's employment?","Will SOGIE Bill help promote programs for non-discrimination and diversity in schools and workplace?","Will SOGIE Bill penalize employers who discriminate against LGBTQIA+ members?","Will SOGIE Bill provide programs to protect students in school?","Will SOGIE Bill help LGBTQIA+ members to know their rights?","Will SOGIE Bill help the LGBTQIA+ members to gain more self-confidence?","Will SOGIE Bill help the implementation of LGBTQIA+ members own public comfort room?","Will SOGIE Bill help LGBTQIA+ members to be more open about their gender identity?","Will SOGIE Bill lessen the bullying cases between LGBTQIA+ student and an ordinary student?","Do you think the SOGIE Bill is for the legalization of Same-Sex Marriage?","Do you think that SOGIE Bill is only for the LGBTQIA+ community?"
"2024/02/19 12:10:52 PM GMT+8","I agree to participate to this survey","CSCS10023","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","5","5","5","5","5","5","5","3","4","4","2","1"
"2024/02/19 12:10:58 PM GMT+8","I agree to participate to this survey","CSCS20037","CSCS","2nd Year","Yes","I am fully knowledgeable about LGBTQIA+","Male","Man","Prefer not to disclose","I am ONLY attracted to men","5","5","5","4","5","5","5","4","5","4","2","1"
"2024/02/19 12:11:38 PM GMT+8","I agree to participate to this survey","CSCS30018","CSCS","3rd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","I am ONLY attracted to women","4","3","4","4","4","3","4","3","4","3","2","3"
"2024/02/19 12:12:01 PM GMT+8","I agree to participate to this survey","CTHM30001","CTHM","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Gender Queer (both)","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","4","4","4","2","4","4","4","4","4","3","4","4"
"2024/02/19 12:12:36 PM GMT+8","I agree to participate to this survey","CSCS20038","CSCS","2nd Year","No","I know some basic knowledge about LGBTQIA+","Female","Gender Queer (both)","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","4","4","4","4","4","4","4","3","4","3","4","4"
"2024/02/19 12:14:35 PM GMT+8","I agree to participate to this survey","CTHM30002","CTHM","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Woman","Androgynous/Unisexual","Prefer not to disclose","4","4","4","2","4","5","5","3","5","5","3","4"
"2024/02/19 12:14:56 PM GMT+8","I agree to participate to this survey","CSCS30019","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Prefer not to disclose","I am attracted to anyone REGARDLESS of their gender","4","4","4","4","4","5","5","4","5","4","3","1"
"2024/02/19 12:14:58 PM GMT+8","I agree to participate to this survey","CSCS40005","CSCS","4th Year","Yes","I know nothing at all","Male","Man","Masculine","I am ONLY attracted to women","3","4","3","4","4","3","5","3","4","4","1","1"
"2024/02/19 12:15:53 PM GMT+8","I agree to participate to this survey","CTHM30003","CTHM","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","4","4","4","5","5","4","4","4","4","4","4"
"2024/02/19 12:16:18 PM GMT+8","I agree to participate to this survey","CSCS40001","CSCS","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Gender Queer (both)","Feminine","I am attracted to anyone REGARDLESS of their gender","4","5","5","5","4","4","4","5","5","5","5","5"
"2024/02/19 12:16:28 PM GMT+8","I agree to participate to this survey","CSCS40006","CSCS","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","3","4","4","5","5","4","3","5","5","4","5","4"
"2024/02/19 12:17:08 PM GMT+8","I agree to participate to this survey","CSCS30020","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","5","4","4","4","5","5","4","5","4","3","3"
"2024/02/19 12:17:16 PM GMT+8","I agree to participate to this survey","CTHM30004","CTHM","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","5","4","5","5","5","4","3","4","3","3"
"2024/02/19 12:17:36 PM GMT+8","I agree to participate to this survey","CSCS40007","CSCS","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","5","5","5","5","5","5","5","5","5","5","5","1"
"2024/02/19 12:18:03 PM GMT+8","I agree to participate to this survey","CTHM30005","CTHM","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","3","5","4","5","5","5","5","5","4","4"
"2024/02/19 12:19:30 PM GMT+8","I agree to participate to this survey","CSCS30021","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","3","4","4","3","4","4","4","4","4","4","4","4"
"2024/02/19 12:19:51 PM GMT+8","I agree to participate to this survey","CTHM30006","CTHM","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","4","4","4","5","4","4","5","5","3","3"
"2024/02/19 12:19:55 PM GMT+8","I agree to participate to this survey","CSCS40002","CSCS","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Gender Neutral (neither)","Feminine","I am attracted to anyone REGARDLESS of their gender","2","4","3","2","2","3","3","2","3","4","4","2"
"2024/02/19 12:21:04 PM GMT+8","I agree to participate to this survey","CSCS30022","CSCS","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","5","5","5","4","5","5","5","4","5","4","4","4"
"2024/02/19 12:21:15 PM GMT+8","I agree to participate to this survey","CSCS20041","CSCS","4th Year","No","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","5","2","4","4","4","4","4","4","4","3"
"2024/02/19 12:21:46 PM GMT+8","I agree to participate to this survey","CTHM30007","CTHM","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","2","4","5","1","4","4","5","5","5","4","5","3"
"2024/02/19 12:21:57 PM GMT+8","I agree to participate to this survey","CSCS10024","CSCS","1st Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","4","4","3","4","4","5","4","4","4","5","3"
"2024/02/19 12:22:11 PM GMT+8","I agree to participate to this survey","CSCS40003","CSCS","4th Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Gender Neutral (neither)","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","3","5","5","5","5","5","5","5","5","3","4","1"
"2024/02/19 12:22:38 PM GMT+8","I agree to participate to this survey","CTHM30008","CTHM","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","5","2","5","5","5","5","5","4","4","2"
"2024/02/19 12:22:57 PM GMT+8","I agree to participate to this survey","CSCS30023","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","5","5","3","4","4","3","3","5","4","4","3"
"2024/02/19 12:23:14 PM GMT+8","I agree to participate to this survey","CSCS20041","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","3","3","4","3","4","4","4","4","3","3","4"
"2024/02/19 12:23:33 PM GMT+8","I agree to participate to this survey","CTHM30009","CTHM","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","5","5","5","5","5","5","5","5","4","5"
"2024/02/19 12:24:16 PM GMT+8","I agree to participate to this survey","CSCS20042","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","4","4","5","4","4","4","5","4","4","3","4"
"2024/02/19 12:24:19 PM GMT+8","I agree to participate to this survey","CSCS40004","CSCS","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am attracted to anyone REGARDLESS of their gender","4","3","4","4","3","4","5","4","5","4","5","1"
"2024/02/19 12:24:26 PM GMT+8","I agree to participate to this survey","CTHM40001","CTHM","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","3","3","3","3","3","3","3","3","3","3","3"
"2024/02/19 12:24:30 PM GMT+8","I agree to participate to this survey","CSCS30024","CSCS","3rd Year","Yes","I know nothing at all","Female","Woman","Feminine","I am ONLY attracted to men","3","3","3","3","3","3","3","3","3","3","3","2"
"2024/02/19 12:24:37 PM GMT+8","I agree to participate to this survey","CSCS10025","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","2","4","5","3","5","4","4","3","4","2","3","2"
"2024/02/19 12:25:49 PM GMT+8","I agree to participate to this survey","CSCS30025","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","5","5","3","4","4","4","4","4","3","3","3"
"2024/02/19 12:25:54 PM GMT+8","I agree to participate to this survey","CTHM40002","CTHM","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","3","3","3","3","3","3","3","3","3","3","3","3"
"2024/02/19 12:26:44 PM GMT+8","I agree to participate to this survey","CTHM40003","CTHM","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","5","4","5","5","5","4","5","4","4","4"
"2024/02/19 12:26:55 PM GMT+8","I agree to participate to this survey","CSCS30026","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Prefer not to disclose","Prefer not to disclose","Prefer not to disclose","4","2","3","3","3","2","5","5","5","3","2","1"
"2024/02/19 12:28:34 PM GMT+8","I agree to participate to this survey","CSCS10026","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","5","4","3","3","4","4","3","3","3","2","1"
"2024/02/19 12:28:59 PM GMT+8","I agree to participate to this survey","CSCS30027","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","5","5","4","5","5","5","5","5","5","5","3"
"2024/02/19 12:30:06 PM GMT+8","I agree to participate to this survey","CSCS10027","CSCS","1st Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","4","5","4","5","5","5","5","5","5","5","5"
"2024/02/19 1:44:56 PM GMT+8","I agree to participate to this survey","CSCS30028","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","3","3","4","5","5","4","5","4","5","3"
"2024/02/19 1:46:12 PM GMT+8","I agree to participate to this survey","CSCS30029","CSCS","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","3","3","4","5","5","4","3","3","4","5"
"2024/02/19 1:47:27 PM GMT+8","I agree to participate to this survey","CSCS30030","CSCS","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","5","5","5","5","5","5","5","5","5","4"
"2024/02/19 1:49:55 PM GMT+8","I agree to participate to this survey","CSCS30031","CSCS","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","3","4","4","4","4","4","4","3","5","4","3","1"
"2024/02/19 1:50:59 PM GMT+8","I agree to participate to this survey","CSCS30032","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","2","4","3","4","4","4","3","3","3","2","3","2"
"2024/02/19 1:52:45 PM GMT+8","I agree to participate to this survey","CSCS30033","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","3","4","4","4","4","4","4","3","3","3","3"
"2024/02/19 1:55:46 PM GMT+8","I agree to participate to this survey","CSCS30034","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Androgynous/Unisexual","I am ONLY attracted to women","5","5","5","5","5","5","5","4","5","5","4","5"
"2024/02/19 1:56:40 PM GMT+8","I agree to participate to this survey","CSCS30035","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","4","4","4","4","4","4","5","4","5","4","3","4"
"2024/02/19 1:57:37 PM GMT+8","I agree to participate to this survey","CSCS30036","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","4","4","4","4","4","4","4","4","3","3"
"2024/02/19 1:58:37 PM GMT+8","I agree to participate to this survey","CSCS30037","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","4","4","4","4","4","4","4","4","4","4","4","4"
"2024/02/19 2:00:53 PM GMT+8","I agree to participate to this survey","CSCS30038","CSCS","3rd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","I am ONLY attracted to men","4","4","4","4","4","4","4","2","2","1","1","3"
"2024/02/19 2:02:01 PM GMT+8","I agree to participate to this survey","CSCS30039","CSCS","3rd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am NOT sexually attracted to anyone","4","3","4","2","3","4","5","3","4","1","3","3"
"2024/02/19 2:03:08 PM GMT+8","I agree to participate to this survey","CLAC10001","CLAC","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","4","5","3","5","5","5","5","4","5","3","4"
"2024/02/19 2:04:05 PM GMT+8","I agree to participate to this survey","CSCS30040","CSCS","3rd Year","No","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","5","3","5","5","5","5","5","5","5","1"
"2024/02/19 2:04:40 PM GMT+8","I agree to participate to this survey","CLAC10002","CLAC","1st Year","No","I know nothing at all","Female","Woman","Feminine","I am ONLY attracted to men","4","5","4","3","4","4","3","4","5","4","4","5"
"2024/02/19 2:05:17 PM GMT+8","I agree to participate to this survey","CSCS30041","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","5","5","3","4","5","4","3","4","2","1","1"
"2024/02/19 2:06:31 PM GMT+8","I agree to participate to this survey","CLAC10003","CLAC","1st Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to women","4","5","5","5","5","5","5","5","5","4","3","2"
"2024/02/19 2:08:12 PM GMT+8","I agree to participate to this survey","CLAC10004","CLAC","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Intersex","Gender Queer (both)","Masculine","I am attracted to anyone REGARDLESS of their gender","3","4","4","4","4","5","5","4","4","3","2","2"
"2024/02/19 2:09:52 PM GMT+8","I agree to participate to this survey","CLAC10005","CLAC","1st Year","No","I am fully knowledgeable about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","3","4","3","3","4","4","4","3","4","3","3","3"
"2024/02/19 2:11:05 PM GMT+8","I agree to participate to this survey","CLAC10006","CLAC","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","3","4","3","4","5","5","4","4","4","2","2"
"2024/02/19 2:12:30 PM GMT+8","I agree to participate to this survey","CLAC10007","CLAC","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Gender Neutral (neither)","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","4","5","5","3","5","5","4","3","4","4","3","2"
"2024/02/19 2:13:56 PM GMT+8","I agree to participate to this survey","CLAC10008","CLAC","1st Year","Yes","I am fully knowledgeable about LGBTQIA+","Male","Man","Feminine","I am ONLY attracted to women","5","5","5","4","5","5","5","4","5","5","3","4"
"2024/02/19 2:15:33 PM GMT+8","I agree to participate to this survey","CLAC20001","CLAC","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","3","4","5","5","5","5","3","5","4","3","2","4"
"2024/02/19 2:18:00 PM GMT+8","I agree to participate to this survey","CLAC20002","CLAC","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Prefer not to disclose","I am ONLY attracted to men","5","4","5","4","5","5","5","4","4","4","2","1"
"2024/02/19 2:19:14 PM GMT+8","I agree to participate to this survey","CLAC20003","CLAC","2nd Year","No","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","3","3","3","4","3","3","4","3","4","3","4","4"
"2024/02/19 2:20:37 PM GMT+8","I agree to participate to this survey","CLAC20004","CLAC","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","I am ONLY attracted to women","3","4","3","4","3","3","4","3","3","3","4","4"
"2024/02/19 2:21:50 PM GMT+8","I agree to participate to this survey","CLAC20005","CLAC","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","5","5","4","4","5","5","5","5","4","3","1"
"2024/02/19 2:22:57 PM GMT+8","I agree to participate to this survey","CLAC20006","CLAC","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to women","4","5","5","3","5","5","5","5","5","4","4","1"
"2024/02/19 2:24:04 PM GMT+8","I agree to participate to this survey","CTHM20014","CTHM","2nd Year","No","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am attracted to anyone REGARDLESS of their gender","4","5","5","3","4","5","5","4","5","4","4","3"
"2024/02/19 2:24:22 PM GMT+8","I agree to participate to this survey","CLAC20007","CLAC","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","Prefer not to disclose","2","4","4","4","3","5","3","4","2","2","5","1"
"2024/02/19 2:24:59 PM GMT+8","I agree to participate to this survey","CTHM20015","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am attracted to anyone REGARDLESS of their gender","4","4","5","3","5","5","5","3","5","4","3","3"
"2024/02/19 2:25:23 PM GMT+8","I agree to participate to this survey","CLAC20008","CLAC","2nd Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Gender Queer (both)","Feminine","I am attracted to anyone REGARDLESS of their gender","5","5","5","5","5","5","5","5","5","5","5","5"
"2024/02/19 2:26:14 PM GMT+8","I agree to participate to this survey","CTHM20016","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Gender Queer (both)","Androgynous/Unisexual","I am ONLY attracted to men","5","5","5","5","5","5","5","5","5","5","5","5"
"2024/02/19 2:27:15 PM GMT+8","I agree to participate to this survey","CTHM20017","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","5","4","4","5","5","5","5","5","5","3"
"2024/02/19 2:27:24 PM GMT+8","I agree to participate to this survey","CLAC20009","CLAC","2nd Year","Yes","I am fully knowledgeable about LGBTQIA+","Male","Prefer not to disclose","Prefer not to disclose","Prefer not to disclose","3","4","3","4","4","4","3","4","3","2","4","1"
"2024/02/19 2:27:54 PM GMT+8","I agree to participate to this survey","CLAC30001","CLAC","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am attracted to anyone REGARDLESS of their gender","4","4","4","4","5","4","4","4","4","5","3","3"
"2024/02/19 2:28:11 PM GMT+8","I agree to participate to this survey","CTHM20018","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am attracted to anyone REGARDLESS of their gender","5","5","5","2","5","5","5","4","5","5","4","1"
"2024/02/19 2:28:58 PM GMT+8","I agree to participate to this survey","CLAC20010","CLAC","2nd Year","No","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","3","4","5","2","3","4","5","3","3","3","2","1"
"2024/02/19 2:29:02 PM GMT+8","I agree to participate to this survey","CLAC40001","CLAC","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","I am ONLY attracted to women","4","5","4","5","5","4","3","3","4","4","3","1"
"2024/02/19 2:29:12 PM GMT+8","I agree to participate to this survey","CTHM20019","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Prefer not to disclose","Prefer not to disclose","Feminine","I am attracted to anyone REGARDLESS of their gender","5","5","5","2","5","5","5","5","5","5","5","4"
"2024/02/19 2:29:31 PM GMT+8","I agree to participate to this survey","CLAC30002","CLAC","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","3","4","3","4","4","4","4","4","3","4","2"
"2024/02/19 2:30:28 PM GMT+8","I agree to participate to this survey","CLAC20011","CLAC","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","5","5","5","4","5","5","4","5","5","5","3"
"2024/02/19 2:30:39 PM GMT+8","I agree to participate to this survey","CLAC40002","CLAC","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","4","3","4","4","4","3","4","4","4","3"
"2024/02/19 2:30:58 PM GMT+8","I agree to participate to this survey","CLAC30003","CLAC","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Prefer not to disclose","Feminine","I am ONLY attracted to men","5","5","5","5","5","5","5","5","5","5","4","1"
"2024/02/19 2:32:44 PM GMT+8","I agree to participate to this survey","CLAC20012","CLAC","2nd Year","Yes","I am fully knowledgeable about LGBTQIA+","Prefer not to disclose","Gender Queer (both)","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","5","5","5","4","5","5","5","5","4","4","3","2"
"2024/02/19 2:33:39 PM GMT+8","I agree to participate to this survey","CLAC30004","CLAC","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Prefer not to disclose","Woman","Feminine","I am ONLY attracted to men","5","5","5","5","5","5","5","5","5","5","4","1"
"2024/02/19 2:34:28 PM GMT+8","I agree to participate to this survey","CLAC20013","CLAC","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Gender Queer (both)","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","4","4","4","3","5","5","5","5","5","5","5","3"
"2024/02/19 2:34:34 PM GMT+8","I agree to participate to this survey","CTHM20020","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","5","4","3","4","5","5","4","5","4","3","3"
"2024/02/19 2:34:45 PM GMT+8","I agree to participate to this survey","CLAC40003","CLAC","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","4","5","5","4","5","5","3","5","3","4","3"
"2024/02/19 2:35:18 PM GMT+8","I agree to participate to this survey","CLAC30005","CLAC","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Prefer not to disclose","Woman","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","5","5","5","5","5","5","5","5","5","5","3","1"
"2024/02/19 2:36:17 PM GMT+8","I agree to participate to this survey","CLAC40004","CLAC","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","5","5","5","5","5","5","3","5","5","4","4"
"2024/02/19 2:36:28 PM GMT+8","I agree to participate to this survey","CLAC20014","CLAC","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","4","4","4","5","3","3","3","4","3","3"
"2024/02/19 2:36:58 PM GMT+8","I agree to participate to this survey","CLAC30006","CLAC","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Prefer not to disclose","Woman","Feminine","Prefer not to disclose","5","5","5","5","5","5","5","5","5","5","4","1"
"2024/02/19 2:37:27 PM GMT+8","I agree to participate to this survey","CLAC40005","CLAC","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Gender Neutral (neither)","Feminine","I am ONLY attracted to men","4","4","3","3","4","4","4","3","3","3","3","2"
"2024/02/19 2:37:49 PM GMT+8","I agree to participate to this survey","CLAC20015","CLAC","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am attracted to anyone REGARDLESS of their gender","5","5","5","4","5","5","5","5","5","5","4","2"
"2024/02/19 2:38:49 PM GMT+8","I agree to participate to this survey","CLAC40006","CLAC","4th Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Woman","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","5","5","5","5","5","5","5","5","5","4","2","1"
"2024/02/19 2:38:50 PM GMT+8","I agree to participate to this survey","CLAC30007","CLAC","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Male","Gender Neutral (neither)","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","5","5","3","2","2","4","3","4","3","2","3","4"
"2024/02/19 2:38:54 PM GMT+8","I agree to participate to this survey","CTHM20021","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","4","5","5","5","5","4","4","4","4","3"
"2024/02/19 2:39:23 PM GMT+8","I agree to participate to this survey","CLAC20016","CLAC","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Gender Queer (both)","Androgynous/Unisexual","Prefer not to disclose","4","4","4","3","4","4","4","3","4","4","4","3"
"2024/02/19 2:40:28 PM GMT+8","I agree to participate to this survey","CTHM20022","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","5","4","4","5","5","4","4","3","3","3"
"2024/02/19 2:40:31 PM GMT+8","I agree to participate to this survey","CLAC30008","CLAC","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Prefer not to disclose","Prefer not to disclose","Feminine","I am ONLY attracted to men","5","5","5","5","5","5","5","5","5","5","4","1"
"2024/02/19 2:41:23 PM GMT+8","I agree to participate to this survey","CLAC20017","CLAC","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Androgynous/Unisexual","I am ONLY attracted to men","5","4","5","5","4","5","5","4","3","3","4","4"
"2024/02/19 2:41:36 PM GMT+8","I agree to participate to this survey","CLAC30009","CLAC","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","5","5","5","5","5","5","5","5","5","5","5","5"
"2024/02/19 2:41:44 PM GMT+8","I agree to participate to this survey","CTHM20023","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am attracted to anyone REGARDLESS of their gender","5","5","5","4","5","5","5","3","5","5","4","3"
"2024/02/19 2:42:25 PM GMT+8","I agree to participate to this survey","CLAC40007","CLAC","4th Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","4","5","4","3","4","5","3","3","3","4","4"
"2024/02/19 2:42:49 PM GMT+8","I agree to participate to this survey","CTHM20024","CTHM","2nd Year","Yes","I know nothing at all","Female","Woman","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","5","5","5","3","4","5","4","5","5","5","4","3"
